Course Code,Course Title,Department,Semester,LTPSC,Faculty,Strength,Type,Basket
MA161,Statistics,CSE,1,3-0-0-0-2,Dr. Ramesh Adke,80,core,
DS101,Introduction to DS and AI,CSE,1,3-0-0-0-2,Dr. Abdul Wahid,80,core,
MA162,Probability,CSE,1,3-0-0-0-2,Dr. Chinmayananada,80,core,
EC101,Digital Design,CSE,1,3-0-2-0-2,Dr. Prakash Pawar,80,core,
CS161,Problem Solving through Programming,CSE,1,3-0-2-0-4,Dr. Sunil P V - Section A,80,core,
HS161,English Language and Communication,CSE,1,3-0-0-0-3,Dr. Rajesh N S,80,core,
PH151,Introduction to Quantum Physics,CSE,1,3-0-0-0-2,Prof. Ravishankar,80,elective,
DS151,Linux for Engineers,CSE,1,3-0-0-0-2,Dr. Vivekraj,80,elective,
CS101,Fundamentals of sensing and Control,CSE,1,3-0-0-0-2,Mr. Mallikarjun Kande,80,elective,
HS157,Computational Musicology for Hindustani Music,CSE,1,3-0-0-0-1,Dr. Chandrika Kumar,80,elective,
HS102,Kannada Kali-Nali,CSE,1,3-0-0-0-1,Dr. Anand B,80,elective,
HS103,Leveraging IT for Social Good & CSR,CSE,1,3-0-0-0-2,Dr. Rajesh N S,80,elective,
DE101,Basics of Design,CSE,1,3-0-0-0-2,Dr. Sandesh Phalke,80,elective,
HS156,Holistic Personality Development,CSE,1,3-0-0-0-1,Dr. Rajesh N S,80,elective,
CS151,Introduction to Cybersecurity,CSE,1,3-0-0-0-2,Dr. Girish Revadigar,80,elective,
MA161,Statistics,ECE,1,3-0-0-0-2,Dr. Ramesh Adke,80,core,
DS101,Introduction to DS and AI,ECE,1,3-0-0-0-2,Dr. Abdul Wahid,80,core,
MA162,Probability,ECE,1,3-0-0-0-2,Dr. Chinmayananada,80,core,
EC101,Digital Design,ECE,1,3-0-2-0-2,Dr. Prakash Pawar,80,core,
CS161,Problem Solving through Programming,ECE,1,3-0-2-0-4,Dr. Amimesh Roy,80,core,
HS161,Economics/IIIT Introduction to Quantum Physics,ECE,1,3-0-0-0-3,Prof. Ravishankar,80,core,
PH151,Introduction to Quantum Physics,ECE,1,3-0-0-0-2,Prof. Ravishankar,80,elective,
DS151,Linux for Engineers,ECE,1,3-0-0-0-2,Dr. Vivekraj,80,elective,
CS101,Fundamentals of sensing and Control,ECE,1,3-0-0-0-2,Mr. Mallikarjun Kande,80,elective,
HS157,Computational Musicology for Hindustani Music,ECE,1,3-0-0-0-1,Dr. Chandrika Kumar,80,elective,
HS102,Kannada Kali-Nali,ECE,1,3-0-0-0-1,Dr. Anand B,80,elective,
HS103,Leveraging IT for Social Good & CSR,ECE,1,3-0-0-0-2,Dr. Rajesh N S,80,elective,
DE101,Basics of Design,ECE,1,3-0-0-0-2,Dr. Sandesh Phalke,80,elective,
HS156,Holistic Personality Development,ECE,1,3-0-0-0-1,Dr. Rajesh N S,80,elective,
CS151,Introduction to Cybersecurity,ECE,1,3-0-0-0-2,Dr. Girish Revadigar,80,elective,
